,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
0,Fire-Boltt Wonder 1.8 Bluetooth Calling Smart Watch with AI Voice Assistant Smartwatch,Fire-Boltt Wonder 1.8,1199,4.1,Square,Black,Wonder 1.8 Bluetooth Calling Smart Watch with AI Voice Assistant,Upto 5 Days,Yes,v5.0,240 x 286 Pixels,1.8 Inch,40 g,Lithium Ion,np.nan,np.nan,No,86845,13888
1,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
2,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
3,"Fire-Boltt Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design Smartwatch","Fire-Boltt Talk 1.28""",1099,4.1,Round,Black,"Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design",Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Yes,v5.0 & above,240 x 240 Pixels,1.28 inch,60 g,Lithium Ion,np.nan,np.nan,No,283475,52008
4,SAMSUNG Watch 4 Classic LTE 46mm Super AMOLED LTE Calling with Body Composition Tracking,SAMSUNG,10999,4.3,Round,Black,Watch 4 Classic LTE 46mm Super AMOLED LTE Calling with Body Composition Tracking,Upto 40 Hours,Yes,v5.0,330 x 300 Pixels,1.4 inch,52 g,np.nan,Wear OS,16 GB,np.nan,9511,879
5,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP Marv Neo 1,999,4.1,Square,Black,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",Upto 7 days,Yes,BT 5.1 + BT 3.0,240*280 pixel,4.6 cm,150 g,Lithium Ion,np.nan,np.nan,np.nan,63931,6887
6,"Noise Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2 Smartwatch",Noise Fit Buzz w,1499,4.0,Round,Black,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",7 Days,Yes,np.nan,360 x 360 pixel,33.52 mm,np.nan,np.nan,np.nan,np.nan,np.nan,32138,2736
7,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt Ninja Call,1399,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",Upto 5 Days,Yes,v5.0,240 x 286 Pixel,1.83 inch,40 g,Lithium Ion,np.nan,np.nan,No,215815,33790
8,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
9,"Noise Caliber Go 1.69"" Display with 30 Sports Modes, Women's Edition, 150+ Watch Faces Smartwatch",Noise Caliber Go,1199,4.1,Square,Pink,"Caliber Go 1.69"" Display with 30 Sports Modes, Women's Edition, 150+ Watch Faces",10 Days,No,np.nan,240 x 280 pixel,43 mm,np.nan,np.nan,np.nan,np.nan,np.nan,71024,4754
10,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise Icon Buzz ,1099,4.1,Rectangle,Black,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7 Days,Yes,v5.1,240 x 280 pixel,1.69 inch,50 g,np.nan,np.nan,np.nan,np.nan,443075,31516
11,"Boult Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track Smartwatch",Boult Cosmic R 1,1399,3.9,Round,Black,"Cosmic R 1.3""HD, BT Calling, 500 Nits, 250+ Watch Faces,Complete Health Track",Upto 10 Days,No,v5.0,240 x 240 Pixel,33.02 mm,60 g,Lithium Polymer,np.nan,np.nan,No,16679,1135
